商品ID,商品名称,生产地区,规格,单价(元),库存数量
fp17,五布柚,巴南区,1kg 装,107,999
fp17,五布柚,巴南区,礼盒装,130,999
fp18,开州冰薄月饼,开州区,500g 装,93,999
fp18,开州冰薄月饼,开州区,1kg 装,115,999
fp18,开州冰薄月饼,开州区,礼盒装,138,999
fp19,彭水苗家晶丝苕粉,彭水苗族土家族自治县,500g 装,29,999
fp19,彭水苗家晶丝苕粉,彭水苗族土家族自治县,1kg 装,51,999
fp19,彭水苗家晶丝苕粉,彭水苗族土家族自治县,礼盒装,74,999
fp20,忠县豆腐乳,忠县,500g 装,37,999
fp20,忠县豆腐乳,忠县,1kg 装,59,999
fp20,忠县豆腐乳,忠县,礼盒装,82,999
fp21,梁平柚,梁平区,500g 装,45,999
fp21,梁平柚,梁平区,1kg 装,67,999
fp21,梁平柚,梁平区,礼盒装,90,999
fp22,永川秀芽,永川区,500g 装,53,999
fp22,永川秀芽,永川区,1kg 装,75,999
fp22,永川秀芽,永川区,礼盒装,98,999
fp23,江津花椒,江津区,500g 装,61,999
fp23,江津花椒,江津区,1kg 装,83,999
fp23,江津花椒,江津区,礼盒装,106,999
fp24,磁器口陈麻花,沙坪坝区,500g 装,69,999
fp24,磁器口陈麻花,沙坪坝区,1kg 装,91,999
fp24,磁器口陈麻花,沙坪坝区,礼盒装,114,999
fp25,涪陵榨菜 重庆最具代表性的特产之一,涪陵区,500g 装,77,999
fp25,涪陵榨菜 重庆最具代表性的特产之一,涪陵区,1kg 装,99,999
fp25,涪陵榨菜 重庆最具代表性的特产之一,涪陵区,礼盒装,122,999
fp26,山城小汤圆,渝中区,500g 装,85,999
fp26,山城小汤圆,渝中区,1kg 装,107,999
fp26,山城小汤圆,渝中区,礼盒装,130,999
fp27,潼南柠檬,潼南区,500g 装,93,999
fp27,潼南柠檬,潼南区,1kg 装,115,999
fp27,潼南柠檬,潼南区,礼盒装,138,999
fp28,璧山儿菜,璧山区,500g 装,29,999
fp28,璧山儿菜,璧山区,1kg 装,51,999
fp28,璧山儿菜,璧山区,礼盒装,74,999
fp29,石柱莼菜,石柱土家族自治县,500g 装,37,999
fp29,石柱莼菜,石柱土家族自治县,1kg 装,59,999
fp29,石柱莼菜,石柱土家族自治县,礼盒装,82,999
fp30,秀山金银花,秀山土家族苗族自治县,500g 装,45,999
fp30,秀山金银花,秀山土家族苗族自治县,1kg 装,67,999
fp30,秀山金银花,秀山土家族苗族自治县,礼盒装,90,999
fp31,荣昌猪,荣昌区,500g 装,53,999
fp31,荣昌猪,荣昌区,1kg 装,75,999
fp31,荣昌猪,荣昌区,礼盒装,98,999
fp32,酉阳茶油,酉阳土家族苗族自治县,500g 装,61,999
fp32,酉阳茶油,酉阳土家族苗族自治县,1kg 装,83,999
fp32,酉阳茶油,酉阳土家族苗族自治县,礼盒装,106,999
fp33,铜梁莲藕 肉质肥厚，适合炖汤 、凉拌,铜梁区,500g 装,69,999
fp33,铜梁莲藕 肉质肥厚，适合炖汤 、凉拌,铜梁区,1kg 装,91,999
fp33,铜梁莲藕 肉质肥厚，适合炖汤 、凉拌,铜梁区,礼盒装,114,999
fp34,长寿沙田柚,长寿区,500g 装,77,999
fp34,长寿沙田柚,长寿区,1kg 装,99,999
fp34,长寿沙田柚,长寿区,礼盒装,122,999
fp35,珍珠兰茶,黔江区,500g 装,85,999
fp35,珍珠兰茶,黔江区,1kg 装,107,999
fp35,珍珠兰茶,黔江区,礼盒装,130,999
